FromNodeId,ToNodeId
0001816,1115
0001816,268
0001816,4505
0001816,4512
0001816,4513
0001816,4522
1115,0050687
1115,355
1115,4233
1115,4235
1115,7615
0002116,10124
0002116,10525
10124,0060252
10124,0060287
10124,0060305
10124,5614
10124,10126
10124,11030
10124,11547
10124,11552
10124,1237
10124,12753
10124,13447
10124,1436
10124,2283
10124,2566
10124,4677
0014667,4
0014667,0060158
0014667,655
4,0050117
4,0080015
4,14566
4,150
4,225
4,630
4,7
0050004,10400
10400,10399
10400,9365
0050012,934
934,0050118
934,0050175
934,0050179
934,0050194
934,0050195
934,0050196
934,0050197
934,0050198
934,0050199
934,0050202
934,0050495
934,0050516
934,0050517
934,0050518
934,0050521
934,0060478
934,10250
934,10264
934,10841
934,10842
934,10843
934,10844
934,10845
934,10881
934,10882
934,10883
934,11165
934,11168
934,11227
934,11260
934,11266
934,11320
934,11360
934,12155
934,12205
934,12287
934,12549
934,1273
934,1328
934,13775
934,13801
934,14472
934,1883
934,2043
934,2047
934,2365
934,2366
934,2929
934,2934
934,2945
934,321
934,3292
934,3298
934,4325
934,4327
934,4411
934,4885
934,4953
934,5154
934,526
934,5362
934,643
934,8469
934,8536
934,8566
934,8568
934,8622
934,8659
934,8729
934,8736
934,8771
934,8781
934,8867
934,8956
934,8970
934,9210
934,0050117
934,9537
934,9584
934,9682
934,992
0050013,0060158
0050013,4194
0060158,0050032
0060158,12700
0060158,1920
0060158,3650
0060158,374
0060158,9120
0060158,9969
0050025,10242
10242,0050026
10242,0050338
0050032,10575
0050032,2351
0050032,2485
0050032,4500
0050035,11104
11104,0050041
11104,0050042
11104,0050043
11104,0050046
11104,0050047
11104,0050050
11104,0050051
11104,0050052
11104,0050484
11104,10784
11104,10921
11104,11103
11104,0050338
11104,14095
0050059,13386
13386,7427
0050061,0050338
0050338,104
0050338,0050456
0050338,0050485
0050338,1022
0050338,1024
0050338,10371
0050338,10458
0050338,11055
0050338,11077
0050338,11100
0050338,11102
0050338,11256
0050338,11262
0050338,11336
0050338,11338
0050338,11405
0050338,11573
0050338,11729
0050338,11976
0050338,12096
0050338,12385
0050338,13034
0050338,13238
0050338,13258
0050338,13431
0050338,13444
0050338,13622
0050338,13778
0050338,1498
0050338,2123
0050338,2297
0050338,2755
0050338,3055
0050338,3482
0050338,399
0050338,4166
0050338,5052
0050338,7427
0050338,7551
0050338,9113
0050338,96
0050068,10773
10773,3482
0050072,0050292
0050292,0050136
0050292,11186
0050292,12662
0050292,12663
0050292,13450
0050292,14049
0050292,14484
0050292,1731
0050073,13564
13564,0050153
13564,13166
13564,2473
13564,13565
0050083,5113
5113,0050810
5113,10915
5113,11249
5113,11491
5113,11758
5113,11801
5113,13198
5113,13381
5113,13724
5113,13725
5113,14026
5113,4025
5113,5112
5113,374
5113,8454
5113,8455
5113,8456
5113,8457
0050096,8913
8913,11917
8913,12179
8913,12403
8913,13074
8913,13369
8913,4337
8913,0050134
0050097,4337
4337,0050105
4337,4336
0050116,12179
12179,13368
0050117,104
0050117,1398
0050117,1564
0050120,75
75,0060366
75,2529
75,3405
75,4347
75,4977
75,533
75,2914
75,9317
75,9942
0050125,12205
12205,0050143
12205,12206
0050127,1352
0050127,10791
0050127,10794
0050127,2051
0050127,9507
1352,2825
0050129,13250
0050129,0060296
13250,0050130
13250,0050131
13250,0050132
13250,0050140
13250,77
0050133,1564
0050133,12711
0050133,13902
0050133,8912
0050133,9060
1564,0050134
1564,0050135
1564,0050136
0050134,1563
0050135,0050278
0050135,0050279
0050135,1562
0050136,2473
0050138,4976
4976,4977
0050141,11976
11976,0050352
11976,0050353
11976,0050354
0050144,9562
9562,0060340
0050145,974
974,0050148
974,0060310
974,0060311
974,10456
974,10459
974,11195
974,2275
974,2825
974,3225
974,786
974,8596
974,9398
974,9561
974,1579
0050147,9463
0050147,10519
9463,10516
9463,10518
9463,10520
9463,222
9463,379
0050150,10458
10458,10457
0050152,874
0050152,873
874,552
0050155,863
0050155,1492
0050155,2742
863,12697
863,13364
863,331
863,3602
863,4969
863,574
863,862
863,7
863,870
0050156,2797
2797,0050157
2797,0050158
2797,0050159
2797,552
2797,2800
2797,2801
0050160,7427
7427,7426
0050161,1579
0050161,1176
0050161,1532
0050161,850
1579,11088
1579,7
1579,9395
0050166,2149
2149,1251
2149,2148
2149,0050598
2149,754
2149,827
2149,9733
0050167,14040
14040,0050168
14040,0060005
0050169,8857
0050169,0060386
8857,417
8857,9074
0050174,2365
0050177,630
0050177,0050735
0050177,0050738
0050177,0050739
0050177,0050780
0050177,14793
630,0050524
630,0060340
630,0080014
630,0080110
630,11725
630,1925
630,2581
630,4501
630,8545
0050185,37
37,0050426
37,0050429
37,0050448
37,0050467
37,0050486
37,0060283
37,0060472
37,10123
37,13081
37,13402
37,13523
37,1383
37,1555
37,1558
37,161
37,2053
37,2723
37,2729
37,2731
37,2732
37,2733
37,3134
37,3136
37,3137
37,3140
37,3142
37,3144
37,3153
37,3156
37,3158
37,3486
37,3488
37,16
37,4603
37,4702
37,6687
37,7365
37,811
37,8549
37,8574
37,8881
37,8893
37,9097
37,9098
37,9540
0050200,11266
11266,0050201
11266,0050522
0050204,1884
1884,2237
0050211,8469
8469,4492
0050214,439
439,3635
439,437
439,440
0050218,1496
1496,12148
1496,1495
1496,883
0050222,11702
11702,11701
11702,6025
11702,14176
11702,6024
0050242,2789
2789,0050246
2789,10113
2789,10718
2789,12365
2789,12386
2789,1947
2789,2113
2789,1398
2789,3733
2789,9065
2789,9181
2789,946
2789,9643
0050250,883
883,0050251
883,0050253
883,0050254
883,0050256
883,0050259
883,0050260
883,0050261
883,0050596
883,10074
883,10075
883,10080
883,10699
883,1080
883,10955
883,11379
883,1217
883,1218
883,1219
883,12474
883,1252
883,1255
883,12841
883,13767
883,13768
883,1395
883,14418
883,2790
883,3107
883,3108
883,3983
883,456
883,7033
883,7457
883,882
883,1398
883,884
883,885
883,888
883,931
883,9784
883,9790
0050266,4110
4110,11079
4110,11080
4110,4109
4110,1398
4110,5502
4110,7894
0050268,11080
11080,12926
11080,12927
0050288,2473
2473,0050289
2473,0050290
2473,11339
2473,12053
2473,1508
2473,2832
2473,4271
2473,8484
0050291,1398
0050291,2409
0050304,9835
9835,11638
9835,11782
9835,11830
9835,11850
9835,12273
9835,9834
9835,5614
0050308,11320
0050328,1459
1459,0050655
1459,11633
1459,11634
1459,1458
1459,50
1459,5083
0050331,0050736
0050736,0050424
0050736,0050430
0050736,0050438
0050736,0050449
0050736,0050466
0050736,0050469
0050736,0050471
0050736,0050472
0050736,0050601
0050736,0050657
0050736,0050658
0050736,0050660
0050736,0050675
0050736,0050676
0050736,0050678
0050736,0050691
0050736,0050693
0050736,0050694
0050736,0050739
0050736,0050770
0050736,0050786
0050736,0050787
0050736,0050788
0050736,0050789
0050736,0050792
0050736,0050793
0050736,0050854
0050736,0050887
0050736,0060055
0050736,0060173
0050736,0060294
0050736,0060330
0050736,0060464
0050736,0060468
0050736,0080046
0050736,10016
0050736,10017
0050736,10041
0050736,1270
0050736,13515
0050736,14213
0050736,14291
0050736,14323
0050736,14686
0050736,14693
0050736,14702
0050736,14725
0050736,14743
0050736,14764
0050736,14778
0050736,1702
0050736,1856
0050736,1858
0050736,1933
0050736,2512
0050736,2736
0050736,2908
0050736,2960
0050736,3012
0050736,3263
0050736,3764
0050736,3883
0050736,4998
0050736,5683
0050736,6457
0050736,6683
0050736,8712
0050736,898
0050736,9258
0050736,9467
0050736,9631
0050332,2742
2742,0050563
2742,10261
2742,11129
2742,11235
2742,11783
2742,2889
2742,2952
2742,379
2742,5100
0050335,5679
5679,0050795
5679,11086
5679,11561
5679,12510
5679,13025
5679,13401
5679,14000
5679,1432
5679,14791
5679,2462
5679,3612
5679,5327
5679,5678
5679,5614
5679,6929
5679,7633
5679,8466
5679,8499
