503	560	1379298633
0	901	1421247394
1057	53	1422010302
382	994	1423271713
1057	592	1423560787
0	901	1423651421
1057	572	1424166791
1057	1421	1425566221
1057	1488	1425647730
1057	1776	1425987076
313	53	1426011563
503	416	1426036227
1057	1026	1426327381
1057	1265	1426330105
1057	1588	1426330164
1057	67	1426330217
0	901	1426486510
1057	1805	1426494295
1057	1460	1427196762
1057	1351	1427198573
1057	764	1427200832
1057	899	1427304624
1057	1161	1427306037
1057	1854	1427306274
1057	1462	1427306364
583	901	1427876970
1026	416	1428400194
1057	312	1428674886
1114	901	1429509651
1057	287	1430724266
1057	1595	1430724446
1057	1488	1430729537
0	901	1430898964
1057	1823	1430917892
1413	1595	1431600464
1057	1164	1432713011
1057	1616	1432713573
1057	1722	1433146458
1057	1491	1433334344
914	255	1433837109
1057	1768	1433937551
1057	53	1433937762
1057	1630	1434115578
1057	1005	1434452091
1057	1488	1434546611
1057	255	1434546611
1057	450	1434546611
908	227	1435595088
908	811	1435881938
908	227	1436074893
908	811	1436776185
1057	1595	1436972624
503	416	1437352493
1478	1057	1437475005
1478	503	1437475005
0	901	1437483959
503	728	1437587129
1057	1460	1437637230
1057	416	1437989874
313	53	1438692062
313	53	1438711577
1441	811	1438780482
1740	227	1438849078
1740	227	1438859790
313	53	1438860174
1057	1022	1438870174
1057	932	1438870347
313	53	1438884807
313	53	1438896685
1057	1274	1438935127
1437	416	1438951695
1437	416	1438951767
1437	416	1438951829
1057	808	1439295869
460	227	1439305514
1347	227	1439454690
416	1522	1439525814
416	652	1439525814
304	227	1439529320
1057	847	1439883149
1057	1421	1439967745
1057	951	1439972552
304	227	1440136031
1057	1863	1440578118
460	227	1440860715
460	227	1441033512
1057	1111	1441175452
1222	227	1441732755
330	302	1441905591
330	439	1441905591
330	1614	1441905591
330	1823	1441905591
330	1413	1441905591
237	227	1442142265
1057	854	1442231105
1057	572	1442231105
460	227	1442329512
237	227	1442339976
0	416	1442402928
0	255	1442404347
460	227	1442415915
1057	788	1442517368
966	227	1442551563
1057	1448	1442564776
1057	377	1442564776
237	811	1442721585
93	227	1442722021
887	811	1442821977
1057	1595	1442825033
1057	1075	1442914155
237	227	1442942982
1746	1369	1442943789
1746	668	1442943789
1746	131	1442943789
1746	413	1442943789
1059	227	1442992823
1029	227	1443072070
304	227	1443076767
460	227	1443193514
460	227	1443279917
330	811	1443327191
1057	1280	1443350869
460	227	1443366313
1057	943	1443439019
1723	901	1443458380
1723	901	1443458539
1723	901	1443458897
1723	901	1443458959
1723	901	1443459328
1723	901	1443471819
1723	901	1443471997
1723	901	1443472116
1723	901	1443472167
1723	901	1443472804
1057	837	1443505940
1057	1063	1443508542
1057	1161	1443509309
1057	1750	1443509791
1723	901	1443528405
1723	901	1443528579
1723	901	1443528653
1723	901	1443528747
1057	1470	1443537994
1057	1448	1443537994
1723	901	1443542385
1723	901	1443542913
1723	901	1443543030
1723	901	1443543045
1723	901	1443543080
1723	901	1443543827
1723	901	1443544830
1723	901	1443544876
1723	901	1443544881
1723	901	1443545016
1723	901	1443545214
1723	901	1443548382
1723	901	1443548430
1723	901	1443548511
237	227	1443548655
1723	901	1443548883
1723	901	1443549374
1723	901	1443550230
1723	901	1443550287
1723	901	1443550329
1723	901	1443610008
1723	901	1443610092
1723	901	1443610226
1723	901	1443610268
1723	901	1443610351
1723	901	1443610398
1723	901	1443610583
1723	901	1443610589
1723	901	1443610890
1723	901	1443610988
1723	901	1443611030
1723	901	1443611034
1723	901	1443611202
1723	901	1443611395
